Tuscherer Original,,Reps,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X = last value before extrapolation
RIR,RPE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
0,10,1,0.955,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,"Green = Inputted values.  Only enter values here, the rest autopopulates"
0.5,9.5,0.9775,0.9385,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,Yellow = Values derived directly from green
1,9,0.955,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,Red = Values derived indirectly
1.5,8.5,0.9385,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,
2,8,0.922,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,Helpful Hint: use Fill-->Series (linear) between any two values on the green line and Excel will
2.5,7.5,0.907,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,automatically fill in the missing values.
3,7,0.892,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,
3.5,6.5,0.8775,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,Instructions on Customizing RPE Chart by Mike Tuscherer
4,6,0.863,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,https://articles.reactivetrainingsystems.com/2016/01/06/customizing-your-rpe-chart/
4.5,5.5,0.85,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,0.396,
5,5,0.837,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,0.392,
5.5,4.5,0.824,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,0.396,0.388,
6,4,0.811,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,0.392,0.384,
6.5,3.5,0.7985,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,0.396,0.388,0.38,
7,3,0.786,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,0.392,0.384,0.376,
7.5,2.5,0.774,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,0.396,0.388,0.38,0.372,
8,2,0.762,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,0.392,0.384,0.376,0.368,
8.5,1.5,0.7505,0.723,0.6935,0.6665,0.6395,0.6125,0.5915,0.577,0.5635,0.5505,0.538,0.526,0.5145,0.5035,0.493,0.4825,0.4725,0.463,0.4535,0.4445,0.436,0.428,0.42,0.412,0.404,0.396,0.388,0.38,0.372,0.364,
9,1,0.739,0.707,0.68,0.653,0.626,0.599,0.584,0.57,0.557,0.544,0.532,0.52,0.509,0.498,0.488,0.477,0.468,0.458,0.449,0.44,0.432,0.424,0.416,0.408,0.4,0.392,0.384,0.376,0.368,0.36,
